De_novo_ID	GG_13_8_ID
OTU_3	851726
OTU_2	128300
OTU_4	227000
OTU_1	1033552
OTU_6	29566
OTU_5	137183
OTU_8	403822
OTU_7	663885
OTU_9	760967
OTU_10	225846
OTU_11	469663
OTU_14	134265
OTU_13	4429907
OTU_15	1096610
OTU_16	4479603
OTU_18	851668
OTU_20	227285
OTU_12	*
OTU_21	4454737
OTU_22	1105876
OTU_19	*
OTU_17	*
OTU_23	85594
OTU_25	92329
OTU_26	4425571
OTU_24	4441855
OTU_29	4448731
OTU_27	931528
OTU_28	4479989
OTU_31	85218
OTU_30	15076
OTU_33	4429335
OTU_34	495451
OTU_35	557799
OTU_36	133178
OTU_37	1039584
OTU_38	30062
OTU_39	4344207
OTU_40	14280
OTU_41	4445673
OTU_42	4430843
OTU_32	*
OTU_45	2438396
OTU_43	1099710
OTU_46	246717
OTU_44	128382
OTU_48	4410401
OTU_50	386273
OTU_51	4357082
OTU_49	258882
OTU_47	3244896
OTU_53	1000986
OTU_54	68416
OTU_52	804621
OTU_58	374568
OTU_57	69664
OTU_56	4473664
OTU_55	4377809
OTU_61	4477719
OTU_60	4374663
OTU_62	4479695
OTU_59	4483015
OTU_65	2038560
OTU_66	1038074
OTU_64	495007
OTU_68	138179
OTU_69	4440404
OTU_70	4456252
OTU_71	755148
OTU_63	*
OTU_72	1115121
OTU_74	4294838
OTU_73	328472
OTU_67	*
OTU_76	773109
OTU_77	4410166
OTU_75	4364814
OTU_78	163857
OTU_79	3039313
OTU_80	4452613
OTU_81	298776
OTU_83	1097113
OTU_82	851821
OTU_84	408604
OTU_85	874462
OTU_86	1047077
OTU_87	434992
OTU_89	69947
OTU_90	4413347
OTU_91	1082607
OTU_88	4340162
OTU_92	484439
OTU_93	1062356
OTU_94	197476
OTU_95	4457438
OTU_96	4349519
OTU_98	4377418
OTU_97	31171
OTU_99	4404731
OTU_100	692756
OTU_101	4482983
OTU_102	435264
OTU_103	1057169
OTU_104	4387121
OTU_105	801210
OTU_106	1100471
OTU_108	851634
OTU_109	4344651
OTU_111	4478125
OTU_112	4315100
OTU_113	190233
OTU_114	165179
OTU_116	484444
OTU_115	963606
OTU_110	*
OTU_118	715913
OTU_117	494971
OTU_107	*
OTU_120	4300127
OTU_119	4450214
OTU_122	224222
OTU_121	4422405
OTU_123	1903527
OTU_124	751973
OTU_125	2201995
OTU_126	105409
OTU_128	4404187
OTU_129	71165
OTU_131	70363
OTU_132	851824
OTU_133	4482377
OTU_127	*
OTU_135	841344
OTU_134	1103499
OTU_130	*
OTU_137	927089
OTU_136	1007750
OTU_139	4482516
OTU_140	4429301
OTU_142	1903534
OTU_143	22697
OTU_144	1051082
OTU_146	712917
OTU_147	4481613
OTU_138	*
OTU_148	520657
OTU_141	*
